,Airline,Source,Destination,Total_Stops,Additional_Info,Price,day_of_journey,month_of_journey,year_of_journey,Arrival_Hour,Arrival_Min,Dep_Hour,Dep_Min,Duration_Total_Mins
669,IndiGo,Mumbai,Hyderabad,0,No info,4049,12,6,2019,10,40,9,10,90
670,Jet Airways,Delhi,Cochin,1,In-flight meal not included,10262,3,6,2019,4,25,19,45,520
671,Multiple carriers,Delhi,Cochin,1,No info,7888,21,5,2019,21,0,7,0,840
672,Air India,Delhi,Cochin,2,No info,8236,21,3,2019,19,15,19,45,1410
673,Air India,Delhi,Cochin,2,No info,12961,6,6,2019,19,15,13,20,1795
674,Jet Airways,Kolkata,Banglore,1,In-flight meal not included,8586,9,5,2019,4,40,6,30,1330
675,IndiGo,Kolkata,Banglore,1,No info,5279,18,5,2019,13,0,8,10,290
676,GoAir,Banglore,Delhi,0,No info,3419,18,6,2019,23,40,20,55,165
677,Jet Airways,Delhi,Cochin,2,No info,13292,15,6,2019,19,0,5,30,810
678,Jet Airways,Kolkata,Banglore,1,No info,13067,15,5,2019,9,45,20,25,800
679,IndiGo,Chennai,Kolkata,0,No info,3597,3,5,2019,15,35,13,15,140
680,Jet Airways,Delhi,Cochin,1,No info,15554,18,5,2019,19,0,7,5,715
681,IndiGo,Delhi,Cochin,1,No info,6027,15,5,2019,22,15,17,5,310
682,Jet Airways,Kolkata,Banglore,1,No info,14781,9,5,2019,18,15,6,30,705
683,Jet Airways,Delhi,Cochin,2,No info,13376,1,6,2019,4,25,14,35,830
684,IndiGo,Banglore,Delhi,0,No info,3943,27,5,2019,0,15,21,15,180
685,GoAir,Delhi,Cochin,1,No info,5842,12,6,2019,13,35,7,25,370
686,IndiGo,Chennai,Kolkata,0,No info,4326,15,3,2019,7,35,5,15,140
687,Multiple carriers,Delhi,Cochin,1,No info,8937,1,6,2019,19,15,8,30,645
688,Air India,Chennai,Kolkata,0,No info,3670,21,3,2019,13,55,11,40,135
689,IndiGo,Banglore,Delhi,0,No info,4823,18,6,2019,21,20,18,25,175
690,Jet Airways,Mumbai,Hyderabad,0,In-flight meal not included,2071,3,4,2019,21,5,19,35,90
691,Multiple carriers,Delhi,Cochin,1,In-flight meal not included,6093,27,6,2019,22,30,14,55,455
692,Vistara,Kolkata,Banglore,1,No info,11682,24,3,2019,22,55,20,20,1595
693,IndiGo,Banglore,New Delhi,1,No info,7774,3,3,2019,10,10,5,25,285
694,Jet Airways,Kolkata,Banglore,1,No info,13067,12,5,2019,14,25,17,0,1285
695,IndiGo,Delhi,Cochin,1,No info,7514,27,5,2019,16,10,7,35,515
696,Multiple carriers,Delhi,Cochin,1,No info,6838,9,4,2019,1,30,17,0,510
697,IndiGo,Chennai,Kolkata,0,No info,3858,18,3,2019,15,35,13,20,135
698,Multiple carriers,Delhi,Cochin,1,No info,6795,15,6,2019,1,30,12,50,760
699,Jet Airways,Delhi,Cochin,2,No info,16263,27,5,2019,4,25,20,0,505
700,Air India,Kolkata,Banglore,1,No info,8576,9,5,2019,18,30,16,50,1540
701,Air India,Banglore,Delhi,0,No info,5228,6,5,2019,12,45,10,0,165
702,Jet Airways,Delhi,Cochin,2,No info,16704,1,5,2019,4,25,23,5,1760
703,IndiGo,Kolkata,Banglore,0,No info,8872,24,3,2019,23,5,20,25,160
704,GoAir,Banglore,Delhi,0,No info,3898,3,5,2019,14,30,11,40,170
705,SpiceJet,Chennai,Kolkata,0,No check-in baggage included,3332,21,3,2019,20,5,17,45,140
706,Jet Airways,Kolkata,Banglore,1,In-flight meal not included,5608,21,5,2019,17,35,10,20,435
707,Jet Airways,Kolkata,Banglore,1,No info,13941,9,5,2019,4,40,8,25,1215
708,Multiple carriers,Delhi,Cochin,1,No info,9100,21,3,2019,19,15,7,30,705
709,Vistara,Banglore,Delhi,0,No info,4878,15,6,2019,19,35,17,0,155
710,IndiGo,Delhi,Cochin,1,No info,6416,1,6,2019,21,0,7,30,810
711,SpiceJet,Mumbai,Hyderabad,0,No info,2017,12,5,2019,7,15,5,45,90
712,Jet Airways,Delhi,Cochin,2,No info,10976,27,3,2019,19,45,19,10,1475
713,Jet Airways,Kolkata,Banglore,1,In-flight meal not included,10031,24,3,2019,16,20,19,45,1235
714,IndiGo,Kolkata,Banglore,0,No info,4462,18,3,2019,8,20,5,30,170
715,IndiGo,Delhi,Cochin,1,No info,5073,1,4,2019,12,10,7,35,275
716,IndiGo,Chennai,Kolkata,0,No info,4326,27,3,2019,7,35,5,15,140
717,Multiple carriers Premium economy,Delhi,Cochin,1,No info,10161,21,3,2019,19,15,7,30,705
718,IndiGo,Mumbai,Hyderabad,0,No info,3175,12,6,2019,18,25,16,55,90
719,Vistara,Kolkata,Banglore,1,No info,12312,24,3,2019,9,10,20,20,770
720,Jet Airways,Delhi,Cochin,2,No info,12604,21,3,2019,18,50,18,20,1470
721,Multiple carriers,Delhi,Cochin,1,No info,10877,15,6,2019,19,0,7,30,690
722,IndiGo,Kolkata,Banglore,1,No info,4226,18,5,2019,10,20,6,20,240
723,Jet Airways,Delhi,Cochin,1,In-flight meal not included,5406,6,4,2019,19,0,8,0,660
724,IndiGo,Delhi,Cochin,1,No info,8618,15,5,2019,7,25,2,0,325
725,IndiGo,Kolkata,Banglore,0,No info,4174,18,4,2019,19,50,17,15,155
726,GoAir,Delhi,Cochin,1,No info,10651,1,6,2019,19,35,14,25,310
727,Jet Airways,Delhi,Cochin,1,In-flight meal not included,5963,21,3,2019,4,25,18,15,610
728,Jet Airways,Delhi,Cochin,2,In-flight meal not included,10368,12,6,2019,12,35,9,40,1615
729,IndiGo,Mumbai,Hyderabad,1,No info,7681,6,3,2019,23,0,15,45,435
730,Multiple carriers,Delhi,Cochin,1,No info,7485,21,5,2019,21,0,12,50,490
731,Jet Airways,Banglore,Delhi,0,In-flight meal not included,4544,3,4,2019,18,10,15,15,175
732,SpiceJet,Kolkata,Banglore,1,No info,4649,15,4,2019,20,20,15,5,315
733,Vistara,Chennai,Kolkata,0,No info,11982,12,5,2019,20,5,17,45,140
734,Jet Airways,Mumbai,Hyderabad,0,In-flight meal not included,4995,24,6,2019,8,30,7,5,85
735,IndiGo,Kolkata,Banglore,1,No info,5069,9,5,2019,13,0,8,10,290
736,SpiceJet,Kolkata,Banglore,0,No info,3873,1,6,2019,0,40,22,20,140
737,SpiceJet,Kolkata,Banglore,0,No info,3873,27,4,2019,0,40,22,20,140
738,Air India,Delhi,Cochin,1,No info,8907,27,5,2019,23,0,9,45,795
739,Jet Airways,Kolkata,Banglore,1,In-flight meal not included,10844,9,6,2019,16,20,21,10,1150
740,Jet Airways,Kolkata,Banglore,1,In-flight meal not included,10844,15,5,2019,19,50,21,10,1360
741,Jet Airways,Kolkata,Banglore,1,In-flight meal not included,9663,6,5,2019,12,0,21,10,890
742,Jet Airways,Delhi,Cochin,2,No info,13292,1,6,2019,12,35,21,25,910
743,Jet Airways,Delhi,Cochin,2,No info,14441,12,6,2019,12,35,5,30,425
744,Jet Airways,Mumbai,Hyderabad,0,In-flight meal not included,4050,9,6,2019,4,20,2,55,85
745,IndiGo,Banglore,New Delhi,0,No info,6144,9,3,2019,0,15,21,20,175
746,IndiGo,Delhi,Cochin,1,No info,14871,6,3,2019,15,30,7,30,480
747,Air Asia,Banglore,Delhi,0,No info,4483,18,4,2019,13,55,11,10,165
748,IndiGo,Delhi,Cochin,1,No info,6979,15,5,2019,1,30,10,35,895
749,Jet Airways,Mumbai,Hyderabad,0,No info,8040,27,6,2019,11,50,10,20,90
750,IndiGo,Delhi,Cochin,1,No info,7048,1,6,2019,1,30,9,15,975
751,SpiceJet,Banglore,Delhi,0,No check-in baggage included,3573,27,6,2019,12,20,9,30,170
752,IndiGo,Delhi,Cochin,1,No info,5054,27,5,2019,21,0,16,0,300
753,Air India,Delhi,Cochin,1,No info,8582,1,6,2019,19,15,21,0,1335
754,Air Asia,Delhi,Cochin,1,No info,8759,9,6,2019,13,25,7,55,330
755,IndiGo,Delhi,Cochin,1,No info,6442,27,4,2019,16,10,7,35,515
756,Air India,Delhi,Cochin,1,No info,8879,18,5,2019,19,15,3,50,925
757,Jet Airways,Kolkata,Banglore,1,In-flight meal not included,10031,24,3,2019,18,10,21,10,1260
758,Jet Airways,Delhi,Cochin,2,In-flight meal not included,10368,3,6,2019,19,0,5,30,810
759,IndiGo,Banglore,Delhi,0,No info,3943,24,6,2019,15,50,13,0,170
760,IndiGo,Delhi,Cochin,1,No info,14871,3,3,2019,11,30,4,45,405
761,Jet Airways,Mumbai,Hyderabad,0,In-flight meal not included,4995,18,6,2019,10,15,8,45,90
762,Multiple carriers,Delhi,Cochin,1,In-flight meal not included,10791,24,6,2019,19,0,10,20,520
763,SpiceJet,Mumbai,Hyderabad,0,No info,2753,3,6,2019,7,15,5,45,90
764,IndiGo,Banglore,Delhi,0,No info,4423,9,4,2019,13,0,10,10,170
765,Air Asia,Kolkata,Banglore,0,No info,4409,27,5,2019,12,55,10,20,155
766,Air India,Kolkata,Banglore,1,No info,6117,9,5,2019,11,5,19,0,965
767,Jet Airways,Delhi,Cochin,2,No info,15129,21,5,2019,19,0,19,10,1430
768,Vistara,Kolkata,Banglore,1,No info,9345,6,6,2019,23,25,20,20,1625
769,Vistara,Kolkata,Banglore,1,No info,8085,9,5,2019,23,25,7,10,975
770,Jet Airways,Delhi,Cochin,1,No info,15554,6,5,2019,4,25,13,0,925
771,SpiceJet,Banglore,Delhi,0,No check-in baggage included,3573,21,5,2019,12,20,9,30,170
772,Multiple carriers,Delhi,Cochin,1,No info,17073,3,3,2019,1,35,17,0,515
773,Multiple carriers,Delhi,Cochin,1,No info,6795,9,6,2019,1,30,11,40,830
774,Vistara,Banglore,New Delhi,0,No info,5403,21,3,2019,9,40,7,0,160
775,IndiGo,Chennai,Kolkata,0,No info,3540,15,5,2019,7,40,5,15,145
776,Vistara,Delhi,Cochin,0,No info,6216,24,4,2019,17,50,14,40,190
777,Jet Airways,Banglore,Delhi,0,In-flight meal not included,3359,21,5,2019,18,45,15,50,175
778,Jet Airways,Kolkata,Banglore,1,In-flight meal not included,10844,24,5,2019,23,35,18,55,1720
779,Air India,Banglore,Delhi,0,No info,6961,15,6,2019,16,10,13,20,170
780,Air Asia,Kolkata,Banglore,0,No info,4107,3,4,2019,12,55,10,20,155
781,Multiple carriers,Delhi,Cochin,1,No info,13069,21,3,2019,18,50,9,10,580
782,Jet Airways,Delhi,Cochin,2,No info,13357,24,6,2019,4,25,11,45,1000
783,IndiGo,Delhi,Cochin,1,No info,6938,1,6,2019,22,30,16,10,380
784,Jet Airways,Delhi,Cochin,2,No info,13292,27,6,2019,12,35,9,35,1620
785,Air India,Banglore,New Delhi,2,1 Short layover,26743,1,3,2019,23,25,8,50,875
786,Multiple carriers,Delhi,Cochin,1,No info,13568,21,3,2019,18,50,6,40,730
787,Multiple carriers,Delhi,Cochin,1,No info,15353,6,3,2019,19,15,11,40,455
788,IndiGo,Chennai,Kolkata,0,No info,3597,15,5,2019,17,5,14,45,140
789,Jet Airways,Kolkata,Banglore,1,In-flight meal not included,10031,24,3,2019,16,20,21,10,1150
790,Air India,Kolkata,Banglore,2,No info,14687,9,5,2019,5,25,9,25,1200
791,Jet Airways,Banglore,Delhi,0,In-flight meal not included,7229,6,6,2019,22,50,19,50,180
792,GoAir,Delhi,Cochin,1,No info,10188,9,5,2019,19,35,14,25,310
793,Vistara,Banglore,New Delhi,0,No info,7398,9,3,2019,9,40,7,0,160
794,Jet Airways,Delhi,Cochin,2,No info,16704,18,5,2019,19,0,13,25,1775
795,IndiGo,Banglore,New Delhi,1,No Info,8153,1,3,2019,21,50,16,55,295
796,Jet Airways,Banglore,Delhi,0,No info,7229,9,4,2019,10,10,7,10,180
797,Multiple carriers,Delhi,Cochin,1,In-flight meal not included,6943,27,5,2019,1,30,13,0,750
798,Multiple carriers,Delhi,Cochin,1,No info,8937,1,6,2019,19,15,6,40,755
799,Air India,Delhi,Cochin,2,No info,9400,3,3,2019,9,25,7,5,1580
800,Vistara,Kolkata,Banglore,1,No info,13152,24,3,2019,20,25,7,10,795
801,IndiGo,Banglore,Delhi,0,No info,3419,1,6,2019,1,0,22,10,170
802,Vistara,Kolkata,Banglore,1,No info,7927,12,6,2019,9,5,20,20,765
803,Air India,Banglore,New Delhi,2,No info,9796,15,3,2019,22,10,5,50,980
804,Vistara,Banglore,New Delhi,0,No info,8028,3,3,2019,14,10,11,30,160
805,Multiple carriers,Delhi,Cochin,2,No info,10759,6,3,2019,21,20,13,5,495
806,Multiple carriers,Delhi,Cochin,1,No info,10197,21,5,2019,19,0,7,0,720
807,Air India,Banglore,Delhi,0,No info,5228,1,6,2019,23,55,21,5,170
808,Multiple carriers,Delhi,Cochin,1,In-flight meal not included,9275,18,5,2019,21,0,10,0,660
809,IndiGo,Chennai,Kolkata,0,No info,5277,3,3,2019,0,25,22,5,140
810,Jet Airways,Delhi,Cochin,2,In-flight meal not included,13848,18,5,2019,4,25,14,35,830
811,IndiGo,Delhi,Cochin,1,No info,6412,15,5,2019,22,30,14,20,490
812,Jet Airways,Kolkata,Banglore,1,No info,13941,18,5,2019,4,40,16,30,730
813,Vistara,Banglore,Delhi,0,No info,4668,6,5,2019,9,40,7,0,160
814,IndiGo,Banglore,Delhi,0,No info,3419,18,6,2019,4,15,1,30,165
815,IndiGo,Banglore,Delhi,0,No info,3943,6,4,2019,1,0,22,10,170
816,Air India,Kolkata,Banglore,1,No info,6528,24,5,2019,14,35,14,35,1440
817,Jet Airways,Banglore,Delhi,0,No info,7229,21,5,2019,20,45,17,45,180
818,Multiple carriers,Delhi,Cochin,1,No info,13542,21,3,2019,1,35,13,0,755
819,Jet Airways,Kolkata,Banglore,1,In-flight meal not included,8529,12,6,2019,20,45,18,55,1550
820,Jet Airways,Banglore,Delhi,0,No info,8016,21,6,2019,18,10,15,15,175
821,Jet Airways,Delhi,Cochin,2,In-flight meal not included,13029,9,5,2019,12,35,19,30,1025
822,Jet Airways,Delhi,Cochin,2,No info,15129,9,5,2019,4,25,23,5,1760
823,Jet Airways,Delhi,Cochin,2,In-flight meal not included,10368,9,6,2019,4,25,19,30,535
824,Air India,Delhi,Cochin,0,No info,8666,3,3,2019,21,10,18,5,185
825,Jet Airways,Delhi,Cochin,1,No info,15554,18,5,2019,19,0,10,0,540
826,Jet Airways,Banglore,New Delhi,1,No info,26890,1,3,2019,16,10,5,45,625
827,Jet Airways,Kolkata,Banglore,1,No info,13067,21,5,2019,9,45,17,0,1005
828,Jet Airways,Banglore,Delhi,0,In-flight meal not included,4544,1,4,2019,8,45,6,0,165
829,Vistara,Kolkata,Banglore,1,No info,8452,21,5,2019,22,40,20,20,1580
830,Multiple carriers,Delhi,Cochin,1,In-flight meal not included,7268,27,6,2019,19,15,6,0,795
831,Multiple carriers,Delhi,Cochin,1,No info,9627,9,5,2019,19,0,8,30,630
832,Multiple carriers,Delhi,Cochin,1,No info,9103,9,5,2019,19,0,11,25,455
833,Multiple carriers,Delhi,Cochin,1,No info,11142,9,4,2019,19,0,8,0,660
834,IndiGo,Kolkata,Banglore,0,No info,4148,9,3,2019,8,20,5,30,170
835,Jet Airways,Kolkata,Banglore,1,In-flight meal not included,10844,18,5,2019,18,15,16,30,1545
836,Multiple carriers,Delhi,Cochin,1,No info,9646,6,6,2019,16,10,9,45,385
837,IndiGo,Mumbai,Hyderabad,0,No info,12475,1,3,2019,13,25,12,0,85
838,Jet Airways,Delhi,Cochin,1,No info,15554,18,5,2019,19,0,22,50,1210
839,Jet Airways,Delhi,Cochin,1,In-flight meal not included,10262,27,6,2019,19,0,7,5,715
840,Air India,Banglore,Delhi,0,No info,6961,12,6,2019,16,10,13,20,170
841,Jet Airways,Delhi,Cochin,1,In-flight meal not included,10262,15,6,2019,19,0,14,0,300
842,Jet Airways,Delhi,Cochin,1,In-flight meal not included,10262,27,6,2019,19,0,16,0,1620
843,IndiGo,Banglore,Delhi,0,No info,3943,9,5,2019,2,20,23,30,170
844,Air India,Mumbai,Hyderabad,0,No info,3625,24,5,2019,20,45,19,30,75
845,Multiple carriers,Delhi,Cochin,1,No info,13378,21,3,2019,19,15,9,0,615
846,Jet Airways,Delhi,Cochin,2,No info,13882,15,6,2019,12,35,11,45,1490
847,IndiGo,Banglore,Delhi,0,No info,3943,18,6,2019,8,20,5,30,170
848,Air India,Kolkata,Banglore,2,No info,14687,15,5,2019,5,25,9,25,1200
849,Air Asia,Delhi,Cochin,1,No info,6451,27,5,2019,13,25,7,55,330
850,Vistara,Banglore,Delhi,0,No info,4878,9,6,2019,22,15,19,30,165
851,IndiGo,Delhi,Cochin,1,No info,8542,9,5,2019,1,30,18,35,415
852,IndiGo,Kolkata,Banglore,0,No info,4804,24,5,2019,12,20,9,35,165
853,IndiGo,Kolkata,Banglore,1,No info,6711,6,6,2019,2,15,21,0,315
854,Multiple carriers,Delhi,Cochin,1,No info,16108,15,6,2019,19,15,13,0,375
855,IndiGo,Banglore,Delhi,0,No info,3943,6,6,2019,3,15,0,25,170
856,Air India,Kolkata,Banglore,2,No info,15422,24,5,2019,5,25,10,0,1165
857,IndiGo,Banglore,New Delhi,0,No info,5694,24,3,2019,0,15,21,20,175
858,Jet Airways,Kolkata,Banglore,1,No info,12681,1,4,2019,19,50,8,25,685
859,Jet Airways,Kolkata,Banglore,1,In-flight meal not included,8586,1,5,2019,10,5,20,0,845
860,IndiGo,Banglore,New Delhi,0,No info,6144,3,3,2019,3,25,0,40,165
861,IndiGo,Delhi,Cochin,0,No info,6015,27,4,2019,8,50,5,35,195
862,Multiple carriers,Delhi,Cochin,1,No info,7155,27,6,2019,19,15,4,55,860
863,Jet Airways,Kolkata,Banglore,1,No info,12692,12,6,2019,22,5,9,35,750
864,Air India,Delhi,Cochin,1,No info,8277,18,5,2019,23,0,17,40,320
865,Air India,Delhi,Cochin,2,No info,9347,9,5,2019,9,25,7,5,1580
866,Air India,Delhi,Cochin,0,No info,4939,15,3,2019,21,10,18,5,185
867,Jet Airways,Mumbai,Hyderabad,0,No info,5678,12,3,2019,21,10,19,40,90
868,Jet Airways,Kolkata,Banglore,1,In-flight meal not included,10844,6,6,2019,23,35,16,30,425
869,Jet Airways,Banglore,New Delhi,1,In-flight meal not included,7280,21,3,2019,15,55,9,45,370
870,Multiple carriers,Delhi,Cochin,1,No info,7618,21,3,2019,21,0,13,0,480
871,Multiple carriers,Delhi,Cochin,1,No info,15147,6,3,2019,21,0,8,55,725
872,Jet Airways,Kolkata,Banglore,1,No info,13941,18,5,2019,10,5,21,10,775
873,Jet Airways,Kolkata,Banglore,1,No info,11467,1,4,2019,19,10,9,35,575
874,Multiple carriers,Delhi,Cochin,1,No info,6270,27,6,2019,1,30,10,20,910
875,Multiple carriers,Delhi,Cochin,1,No info,17057,3,3,2019,1,35,13,55,700
876,Jet Airways,Banglore,Delhi,0,No info,8016,3,6,2019,18,10,15,15,175
877,SpiceJet,Delhi,Cochin,1,No check-in baggage included,4760,27,6,2019,13,15,8,45,270
878,SpiceJet,Kolkata,Banglore,0,No check-in baggage included,3815,21,3,2019,9,35,6,55,160
879,SpiceJet,Kolkata,Banglore,0,No info,4174,1,5,2019,19,40,17,10,150
880,Jet Airways,Kolkata,Banglore,1,No info,12692,6,6,2019,9,45,9,35,1450
881,Air India,Kolkata,Banglore,2,No info,15532,15,5,2019,13,45,9,25,1700
882,Jet Airways,Mumbai,Hyderabad,0,In-flight meal not included,4995,6,6,2019,8,30,7,5,85
883,Jet Airways,Delhi,Cochin,1,In-flight meal not included,12898,27,5,2019,4,25,18,15,610
884,Multiple carriers,Delhi,Cochin,1,No info,9794,9,5,2019,19,0,7,30,690
885,Air India,Banglore,Delhi,0,No info,5228,15,5,2019,16,10,13,20,170
886,Jet Airways,Delhi,Cochin,1,In-flight meal not included,10262,27,6,2019,12,35,22,50,825
887,Multiple carriers,Delhi,Cochin,1,No info,9646,24,6,2019,16,10,9,45,385
888,Jet Airways,Kolkata,Banglore,1,No info,15149,15,5,2019,10,5,21,10,775
889,IndiGo,Kolkata,Banglore,1,No info,4205,9,6,2019,23,45,19,20,265
890,Multiple carriers,Delhi,Cochin,1,No info,15147,6,3,2019,21,0,7,30,810
891,Jet Airways,Banglore,New Delhi,1,In-flight meal not included,13712,6,3,2019,9,0,8,55,1445
892,Air India,Delhi,Cochin,1,No info,12415,9,3,2019,9,25,17,20,965
893,Air Asia,Kolkata,Banglore,2,No info,5192,15,5,2019,23,30,15,10,500
894,Air Asia,Kolkata,Banglore,1,No info,5162,15,5,2019,10,30,6,50,220
895,IndiGo,Delhi,Cochin,1,No info,9027,3,3,2019,16,10,6,40,570
896,Jet Airways,Kolkata,Banglore,1,In-flight meal not included,11134,24,3,2019,18,10,13,55,1695
897,Jet Airways,Kolkata,Banglore,1,In-flight meal not included,10844,24,5,2019,9,20,20,0,800
898,Vistara,Kolkata,Banglore,1,No info,12890,24,3,2019,10,50,17,0,1070
899,Jet Airways,Kolkata,Banglore,1,No info,14571,9,6,2019,16,20,20,0,1220
900,Jet Airways,Kolkata,Banglore,1,No info,12121,12,5,2019,21,5,17,0,1685
901,Jet Airways,Delhi,Cochin,1,In-flight meal not included,12373,9,5,2019,4,25,13,0,925
902,Air India,Banglore,New Delhi,1,No info,10972,9,3,2019,23,55,11,50,725
903,Jet Airways,Delhi,Cochin,1,In-flight meal not included,10262,1,6,2019,12,35,2,15,620
904,Jet Airways,Delhi,Cochin,1,In-flight meal not included,12898,27,5,2019,4,25,16,0,745
905,IndiGo,Delhi,Cochin,1,No info,6442,18,5,2019,16,10,8,35,455
906,Vistara,Banglore,Delhi,0,No info,5403,3,4,2019,12,35,9,45,170
907,IndiGo,Delhi,Cochin,1,No info,5703,21,4,2019,12,10,7,35,275
908,Multiple carriers,Delhi,Cochin,1,In-flight meal not included,9871,9,5,2019,19,15,8,0,675
909,IndiGo,Kolkata,Banglore,0,No info,4174,15,4,2019,18,5,15,30,155
910,Air India,Delhi,Cochin,2,No info,11972,21,5,2019,19,15,17,15,1560
911,SpiceJet,Kolkata,Banglore,0,No info,4174,18,4,2019,11,25,9,0,145
912,IndiGo,Kolkata,Banglore,0,No info,4804,21,5,2019,19,50,17,15,155
913,Jet Airways,Kolkata,Banglore,1,No info,12681,1,4,2019,20,45,6,30,855
914,Air Asia,Kolkata,Banglore,0,No info,4508,6,6,2019,12,55,10,20,155
915,Jet Airways,Delhi,Cochin,1,In-flight meal not included,10262,3,6,2019,19,0,20,55,1325
916,Multiple carriers,Delhi,Cochin,1,No info,16775,3,3,2019,1,35,19,0,395
917,Multiple carriers,Delhi,Cochin,1,No info,7198,12,6,2019,1,30,17,0,510
918,Jet Airways,Delhi,Cochin,2,No info,13014,15,6,2019,4,25,9,40,1125
919,Air India,Kolkata,Banglore,3,No info,10991,12,5,2019,23,15,12,0,2115
920,Vistara,Chennai,Kolkata,0,No info,3687,21,6,2019,9,20,7,5,135
921,Air Asia,Kolkata,Banglore,0,No info,5530,12,5,2019,22,25,19,55,150
922,SpiceJet,Kolkata,Banglore,0,No check-in baggage included,3815,27,3,2019,0,40,22,20,140
923,Air India,Kolkata,Banglore,0,No info,6535,1,3,2019,16,45,14,15,150
924,Jet Airways,Delhi,Cochin,1,No info,17234,3,3,2019,4,25,20,50,455
925,Jet Airways,Delhi,Cochin,2,No info,19907,6,3,2019,4,25,16,50,2135
926,Air India,Delhi,Cochin,1,No info,5022,27,3,2019,23,0,20,30,1590
927,Multiple carriers,Delhi,Cochin,1,No info,6305,27,3,2019,15,30,4,0,690
928,Jet Airways,Delhi,Cochin,2,In-flight meal not included,8728,21,3,2019,18,50,16,10,1600
929,IndiGo,Banglore,Delhi,0,No info,3943,1,6,2019,0,15,21,15,180
930,IndiGo,Mumbai,Hyderabad,0,No info,3175,18,3,2019,18,25,16,55,90
931,Jet Airways,Banglore,New Delhi,0,No info,7229,24,3,2019,14,5,11,10,175
932,Multiple carriers,Delhi,Cochin,2,No info,8620,9,3,2019,21,20,7,5,855
933,Air India,Banglore,New Delhi,1,No info,10657,9,3,2019,22,45,5,50,1015
934,Jet Airways,Banglore,New Delhi,1,In-flight meal not included,7832,21,3,2019,20,20,8,0,740
935,Jet Airways,Delhi,Cochin,2,In-flight meal not included,11150,27,6,2019,19,0,13,25,1775
936,Jet Airways,Banglore,New Delhi,1,No info,25735,1,3,2019,19,10,22,50,1220
937,Jet Airways,Delhi,Cochin,2,No info,16263,9,5,2019,4,25,20,0,505
938,Multiple carriers,Delhi,Cochin,1,In-flight meal not included,5797,24,6,2019,1,30,11,40,830
939,Jet Airways,Delhi,Cochin,2,No info,14237,6,6,2019,4,25,18,25,600
940,Jet Airways,Delhi,Cochin,1,In-flight meal not included,10262,9,6,2019,4,25,9,0,1165
941,Jet Airways,Delhi,Cochin,1,In-flight meal not included,10262,9,6,2019,19,0,15,0,1680
942,IndiGo,Banglore,Delhi,0,No info,3943,12,5,2019,6,50,4,0,170
943,Jet Airways,Delhi,Cochin,1,In-flight meal not included,12898,21,5,2019,12,35,19,15,1040
944,IndiGo,Banglore,Delhi,0,No info,3419,15,5,2019,4,15,1,30,165
945,IndiGo,Banglore,New Delhi,0,No info,8033,15,3,2019,0,15,21,20,175
946,Jet Airways,Banglore,New Delhi,1,No info,27992,1,3,2019,19,10,5,45,805
947,Jet Airways,Kolkata,Banglore,1,No info,13941,12,5,2019,10,5,21,10,775
948,Jet Airways,Kolkata,Banglore,1,No info,14388,21,5,2019,4,40,18,55,585
949,Jet Airways,Kolkata,Banglore,1,In-flight meal not included,10844,12,5,2019,16,20,18,55,1285
950,IndiGo,Delhi,Cochin,1,No info,11600,3,3,2019,22,20,6,40,940
951,IndiGo,Chennai,Kolkata,0,No info,5277,6,6,2019,0,25,22,5,140
952,Jet Airways,Delhi,Cochin,1,In-flight meal not included,10262,3,6,2019,4,25,14,0,865
953,IndiGo,Banglore,New Delhi,0,No info,6144,3,3,2019,6,50,4,0,170
954,Jet Airways,Delhi,Cochin,1,In-flight meal not included,12898,3,6,2019,4,25,21,50,395
955,Jet Airways,Kolkata,Banglore,1,No info,13941,12,5,2019,4,40,6,30,1330
956,Jet Airways,Delhi,Cochin,1,In-flight meal not included,12373,18,5,2019,4,25,14,0,865
957,SpiceJet,Kolkata,Banglore,0,No check-in baggage included,3841,3,4,2019,19,40,17,10,150
958,Air India,Kolkata,Banglore,2,No info,10697,18,5,2019,7,55,8,20,1415
959,Jet Airways,Banglore,New Delhi,1,No info,26890,1,3,2019,0,45,11,40,785
960,SpiceJet,Mumbai,Hyderabad,0,No check-in baggage included,2175,1,6,2019,14,45,13,15,90
961,IndiGo,Delhi,Cochin,1,No info,9476,27,5,2019,4,35,23,30,305
962,Air India,Mumbai,Hyderabad,0,No info,3100,24,5,2019,22,25,21,5,80
963,Jet Airways,Delhi,Cochin,2,In-flight meal not included,10368,15,6,2019,4,25,5,30,1375
964,SpiceJet,Mumbai,Hyderabad,0,No info,2017,18,5,2019,0,15,22,45,90
965,SpiceJet,Kolkata,Banglore,0,No check-in baggage included,3841,15,4,2019,9,30,6,55,155
966,Air India,Delhi,Cochin,2,No info,10493,21,5,2019,19,15,5,55,2240
967,SpiceJet,Banglore,New Delhi,0,No info,5126,9,3,2019,8,35,5,45,170
968,IndiGo,Banglore,Delhi,0,No info,3943,18,6,2019,2,20,23,30,170
969,Air India,Delhi,Cochin,2,No info,11552,6,3,2019,19,15,7,5,2170
970,Air India,Delhi,Cochin,1,No info,7934,21,3,2019,19,15,10,0,555
971,Air India,Mumbai,Hyderabad,0,No info,6092,1,3,2019,16,25,15,0,85
972,IndiGo,Delhi,Cochin,1,No info,10112,12,6,2019,4,35,23,30,305
973,Vistara,Chennai,Kolkata,0,No info,6627,9,3,2019,9,20,7,5,135
